Name,Team,total_sgp,marginal_sgp,dollar_value,player_type,position_rank,playing_time,overall_rank
James Wood,WSN,15.53356620503892,7.767254905820177,27.05149531610378,Hitter,21,644,26
Nick Kurtz,ATH,15.5326500763741,7.766338777155358,27.04842260612968,Hitter,22,616,27
Pete Alonso,BAL,15.415929037003337,7.649617737784595,26.656938401307244,Hitter,23,679,28
Freddie Freeman,LAD,15.404599492045861,7.638288192827119,26.618938929039107,Hitter,24,651,29
Jazz Chisholm Jr.,NYY,15.325700492802556,7.559389193583813,26.354310442636258,Hitter,25,616,30
Cristopher Sánchez,PHI,21.848669180421176,13.014324986909507,26.309174863215798,Pitcher,6,200,31
Chris Sale,ATL,21.702961386596478,12.868617193084809,26.025814486357838,Pitcher,7,165,32
Brent Rooker,ATH,15.207980067475328,7.441668768256585,25.959474281571946,Hitter,26,665,33
Junior Caminero,TBR,15.194124559947593,7.4278132607288505,25.913002691050234,Hitter,27,665,34
Mookie Betts,LAD,15.07189380331778,7.305582504099037,25.50303880774323,Hitter,28,651,35
Cal Raleigh,SEA,14.915553523482929,7.149242224264187,24.978671046259823,Hitter,29,637,36
Ketel Marte,ARI,14.799980960639406,7.033669661420664,24.59103884980235,Hitter,30,637,37
Pete Crow-Armstrong,CHC,14.675183692321937,6.908872393103195,24.172466845863234,Hitter,31,644,38
Trea Turner,PHI,14.638630549607017,6.872319250388275,24.04986702935495,Hitter,32,644,39
Rafael Devers,SFG,14.617372476543395,6.851061177324652,23.97856711740905,Hitter,33,686,40
Jacob deGrom,TEX,20.361222156421935,11.526877962910266,23.416511827058862,Pitcher,8,169,41
Jackson Chourio,MIL,14.318613968518417,6.552302669299674,22.976526374980626,Hitter,34,651,42
Randy Arozarena,SEA,14.262720926593838,6.496409627375096,22.78906023185072,Hitter,35,679,43
Max Fried,NYY,20.035789855909698,11.20144566239803,22.783638204486245,Pitcher,9,189,44
Matt Olson,ATL,14.240925428405252,6.474614129186509,22.715957787569323,Hitter,36,686,45
Hunter Brown,HOU,19.88727138740277,11.052927193891101,22.49481186169553,Pitcher,10,183,46
Hunter Greene,CIN,19.84994384651869,11.015599653007023,22.422220370365842,Pitcher,11,180,47
Roman Anthony,BOS,14.05925970259931,6.292948403380567,22.10664808133272,Hitter,37,630,48
Logan Gilbert,SEA,19.59339702542212,10.759052831910452,21.92330948852862,Pitcher,12,163,49
George Kirby,SEA,19.561078981644854,10.726734788133186,21.86046004977412,Pitcher,13,173,50
Yandy Díaz,TBR,13.65307674854246,5.886765449323718,20.744304054595023,Hitter,38,651,51
Yoshinobu Yamamoto,LAD,18.869379957313605,10.035035763801936,20.51530142056176,Pitcher,14,155,52
Christian Yelich,MIL,13.566226055534521,5.799914756315779,20.453005462038046,Hitter,39,630,53
Josh Naylor,SEA,13.514835833066268,5.748524533847526,20.28064184630013,Hitter,40,623,54
Cole Ragans,KCR,18.69336901498767,9.859024821476002,20.1730100053983,Pitcher,15,163,55
George Springer,TOR,13.43733951112132,5.671028211902577,20.02071796165315,Hitter,41,595,56
Brice Turang,MIL,13.362205966882186,5.595894667663444,19.768718870653654,Hitter,42,658,57
Matt Chapman,SFG,13.330772007778757,5.564460708560015,19.663288876623724,Hitter,43,672,58
Spencer Schwellenbach,ATL,18.400044495494218,9.565700301982549,19.60257692008686,Pitcher,16,169,59
Maikel Garcia,KCR,13.257572540077366,5.491261240858623,19.41777670880042,Hitter,44,665,60
Dylan Cease,TOR,18.148883300654525,9.314539107142856,19.11413955545628,Pitcher,17,183,61
CJ Abrams,WSN,13.163397809000111,5.397086509781369,19.101913177179224,Hitter,45,630,62
Munetaka Murakami,CHW,13.135800648406985,5.3694893491882425,19.009351865796116,Hitter,46,588,63
Framber Valdez,,17.996719448871183,9.162375255359514,18.81822397500791,Pitcher,18,195,64
Iván Herrera,STL,13.065417316384192,5.29910601716545,18.77328506140302,Hitter,47,592,65
Joe Ryan,MIN,17.972398510576745,9.138054317065077,18.77092664066667,Pitcher,19,167,66
Jakob Marsee,MIA,13.02441778478934,5.258106485570599,18.635771986544956,Hitter,48,581,67
Cody Bellinger,NYY,12.960334719968476,5.194023420749733,18.420836377598818,Hitter,49,637,68
Oneil Cruz,PIT,12.938149207700993,5.171837908482251,18.346425819952692,Hitter,50,539,69
Seiya Suzuki,CHC,12.911509863887275,5.145198564668533,18.257077041136753,Hitter,51,630,70
Steven Kwan,CLE,12.874608921444539,5.1082976222257965,18.13331069886229,Hitter,52,665,71
Riley Greene,DET,12.8001270730642,5.033815773845458,17.883497406039723,Hitter,53,651,72
Byron Buxton,MIN,12.78249768427748,5.016186385058738,17.82436815832328,Hitter,54,560,73
William Contreras,MIL,12.77498670217458,5.008675402955838,17.79917620602538,Hitter,55,610,74
Luke Keaschall,MIN,12.738956604460723,4.972645305241981,17.67833069069049,Hitter,56,560,75
Ian Happ,CHC,12.71515187569689,4.948840576478148,17.598489255407163,Hitter,57,658,76
Nick Pivetta,SDP,17.289478922785054,8.455134729273386,17.442841528121804,Pitcher,20,183,77
Jesús Luzardo,PHI,17.277522408651112,8.443178215139444,17.419589495667196,Pitcher,21,179,78
Manny Machado,SDP,12.624286480549285,4.857975181330543,17.293725288627865,Hitter,58,651,79
Willy Adames,SFG,12.60369758249213,4.837386283273387,17.224669800195546,Hitter,59,679,80
Nico Hoerner,CHC,12.593508089205653,4.82719678998691,17.190494079191822,Hitter,60,665,81
Jurickson Profar,ATL,12.39637609075546,4.630064791536718,16.529310250857417,Hitter,61,644,82
Corey Seager,TEX,12.384505028319989,4.618193729101247,16.48949452043725,Hitter,62,560,83
Alex Bregman,CHC,12.301963482255037,4.535652183036294,16.212648874611496,Hitter,63,679,84
Taylor Ward,BAL,12.286025605877105,4.519714306658363,16.159192986161482,Hitter,64,658,85
Michael Busch,CHC,12.283914315244298,4.517603016025555,16.152111684118683,Hitter,65,595,86
Sonny Gray,BOS,16.556161817871374,7.721817624359705,16.016747523468027,Pitcher,22,178,87
Austin Riley,ATL,12.224956664682937,4.458645365464195,15.954366795342487,Hitter,66,672,88
Jonathan Aranda,TBR,12.207284252167199,4.4409729529484565,15.895093245361139,Hitter,67,609,89
Mason Miller,SDP,16.37658197177955,7.542237778267882,15.667515601626599,Pitcher,23,66,90
Jose Altuve,HOU,12.083730776550814,4.317419477332072,15.480692941735633,Hitter,68,630,91
Willson Contreras,BOS,12.054360744067187,4.288049444848445,15.382185390102727,Hitter,69,609,92
Mike Trout,LAA,12.04244726301066,4.276135963791917,15.34222738695929,Hitter,70,581,93
Jeremy Peña,HOU,12.025745115569567,4.259433816350825,15.28620812132344,Hitter,71,651,94
Gleyber Torres,DET,12.004614047128873,4.238302747910131,15.21533418488362,Hitter,72,665,95
Trevor Story,BOS,11.938441323590176,4.172130024371434,14.993389827678289,Hitter,73,665,96
Bryson Stott,PHI,11.935745678390484,4.169434379171742,14.984348591212491,Hitter,74,623,97
Bo Bichette,NYM,11.908161583167189,4.141850283948447,14.891831101285623,Hitter,75,658,98
Caleb Durbin,MIL,11.889505529488112,4.12319423026937,14.829258403346577,Hitter,76,609,99
Jarren Duran,BOS,11.883025429615454,4.116714130396712,14.807524046288986,Hitter,77,602,100
Luis Robert Jr.,NYM,11.75144967176885,3.9851383725501073,14.366216881683748,Hitter,78,567,101
Pablo López,MIN,15.66988179116866,6.835537597656991,14.293183973598412,Pitcher,24,169,102
Nathan Eovaldi,TEX,15.66274256697022,6.828398373458551,14.279300205227194,Pitcher,25,173,103
Zack Wheeler,PHI,15.558469944934547,6.7241257514228785,14.076519498029445,Pitcher,26,127,104
Lawrence Butler,ATH,11.664287386960384,3.8979760877416414,14.073873205319122,Hitter,79,588,105
Xavier Edwards,MIA,11.645282153578792,3.87897085436005,14.010129353157016,Hitter,80,602,106
Spencer Strider,ATL,15.521280884889014,6.686936691377346,14.00419731269615,Pitcher,27,159,107
Luis Castillo,SEA,15.464239073752612,6.629894880240943,13.893267151199653,Pitcher,28,179,108
Spencer Torkelson,DET,11.591210629455254,3.824899330236512,13.828772609427206,Hitter,81,651,109
Brandon Woodruff,MIL,15.34806578765889,6.513721594147221,13.667343024121385,Pitcher,29,149,110
Jordan Westburg,BAL,11.504610997892211,3.738299698673469,13.538316080911523,Hitter,82,616,111
Vinnie Pasquantino,KCR,11.440132327727198,3.6738210285084563,13.32205360540892,Hitter,83,644,112
Nolan Schanuel,LAA,11.426621548018028,3.660310248799286,13.276738237421366,Hitter,84,616,113
Michael King,SDP,15.106636803263141,6.272292609751473,13.197832051461127,Pitcher,30,170,114
Ben Rice,NYY,11.384779965842641,3.618468666623899,13.136400911650885,Hitter,85,556,115
Kevin Gausman,TOR,15.05952533523051,6.225181141718842,13.106213593823103,Pitcher,31,182,116
Dylan Crews,WSN,11.360827945374082,3.5945166461553395,13.056065457669538,Hitter,86,595,117
Shane McClanahan,TBR,14.999789658651112,6.1654454651394435,12.990044627269617,Pitcher,32,139,118
Cade Smith,CLE,14.906321835515083,6.071977642003414,12.808276192701298,Pitcher,33,70,119
Edwin Díaz,LAD,14.884735314077027,6.050391120565358,12.766296524427002,Pitcher,34,66,120
Jackson Merrill,SDP,11.260090702518706,3.493779403299964,12.718191158161543,Hitter,87,630,121
Teoscar Hernández,LAD,11.25351239714526,3.4872010979265173,12.696127418307217,Hitter,88,595,122
Jhoan Duran,PHI,14.830560177385696,5.996215983874027,12.660941232536056,Pitcher,35,70,123
Freddy Peralta,NYM,14.805934942136217,5.971590748624548,12.61305212683109,Pitcher,36,162,124
Dansby Swanson,CHC,11.212709411523823,3.446398112305081,12.559273561740289,Hitter,89,686,125
Brandon Nimmo,TEX,11.143552739702764,3.3772414404840223,12.327320994988085,Hitter,90,630,126
Jackson Holliday,BAL,11.126338505714628,3.360027206495886,12.269584183006259,Hitter,91,581,127
Tanner Bibee,CLE,14.589129378391203,5.754785184879534,12.191426730995353,Pitcher,37,182,128
Jo Adell,LAA,11.077425292289693,3.3111139930709506,12.105528494621364,Hitter,92,609,129
Andy Pages,LAD,11.0678246559109,3.3015133566921584,12.073327808962611,Hitter,93,609,130
Michael Harris II,ATL,11.056015373748624,3.2897040745298813,12.033719290551998,Hitter,94,574,131
Tyler Soderstrom,ATH,11.03445344912112,3.2681421499023777,11.961400255674091,Hitter,95,588,132
Heliot Ramos,SFG,10.986841229605302,3.2205299303865598,11.801708121355672,Hitter,96,644,133
Aaron Nola,PHI,14.388094344526657,5.553750151014988,11.80047054764907,Pitcher,38,180,134
Kyle Stowers,MIA,10.969245829954328,3.202934530735586,11.74269287373597,Hitter,97,609,135
TJ Friedl,CIN,10.959775283187295,3.1934639839685524,11.71092851068443,Hitter,98,623,136
Ceddanne Rafaela,BOS,10.943867037824432,3.1775557386056903,11.657572005125758,Hitter,99,609,137
MacKenzie Gore,TEX,14.25309136786189,5.418747174350221,11.53792800726376,Pitcher,39,160,138
Drew Rasmussen,TBR,14.13529328780118,5.3009490942895106,11.308844116258545,Pitcher,40,160,139
Ranger Suárez,BOS,14.124551851166762,5.290207657655094,11.287955065283096,Pitcher,41,169,140
Zac Gallen,,14.11149718805729,5.277152994545622,11.26256744420015,Pitcher,42,191,141
Kyle Bradish,BAL,14.087686287421743,5.253342093910074,11.216261988600886,Pitcher,43,148,142
Matt McLain,CIN,10.810720594768384,3.0444092955496416,11.210996737584148,Hitter,100,609,143
Blake Snell,LAD,14.052967858233735,5.218623664722067,11.148744480302968,Pitcher,44,141,144
Alec Burleson,STL,10.776866272873248,3.0105549736545054,11.097448808621479,Hitter,101,609,145
Matthew Boyd,CHC,13.754162093530644,4.919817900018975,10.567651926012656,Pitcher,45,167,146
Sal Stewart,CIN,10.558543265251918,2.7922319660331762,10.365190001693065,Hitter,102,546,147
Adolis García,PHI,10.546808635966409,2.7804973367476666,10.32583187020718,Hitter,103,602,148
Xander Bogaerts,SDP,10.520335350034005,2.7540240508152625,10.23704005214117,Hitter,104,609,149
Kazuma Okamoto,TOR,10.516772142046378,2.7504608428276356,10.225088996417428,Hitter,105,560,150
Josh Hader,HOU,13.533016930184026,4.698672736672357,10.137587238453085,Pitcher,46,66,151
Jacob Wilson,ATH,10.480831002056648,2.7145197028379062,10.104541846690662,Hitter,106,609,152
Colton Cowser,BAL,10.449383681933618,2.683072382714876,9.999067039590503,Hitter,107,546,153
Shohei Ohtani,LAD,13.436768048567632,4.602423855055964,9.950410433073744,Pitcher,47,116,154
Wilyer Abreu,BOS,10.41809643201091,2.6517851327921687,9.894129110463906,Hitter,108,518,155
Trent Grisham,NYY,10.403371335305538,2.6370600360867957,9.844740904141265,Hitter,109,560,156
Shea Langeliers,ATH,10.368515243906934,2.602203944688192,9.727833024482521,Hitter,110,524,157
Chandler Simpson,TBR,10.300493190165588,2.5341818909468454,9.499685984643955,Hitter,111,434,158
Jorge Polanco,NYM,10.28731413132991,2.5210028321111686,9.455483213691888,Hitter,112,546,159
Marcus Semien,NYM,10.284404301985836,2.5180930027670936,9.445723600231664,Hitter,113,644,160
Devin Williams,NYM,13.17422806450389,4.339883870992221,9.439844547256483,Pitcher,48,64,161
Will Smith,LAD,10.263471845787196,2.4971605465684537,9.375515812380542,Hitter,114,500,162
Emmet Sheehan,LAD,13.109120112407517,4.274775918895848,9.313228026902916,Pitcher,49,145,163
Andrés Giménez,TOR,10.23363380427831,2.4673225050595686,9.275438551104108,Hitter,115,595,164
Hunter Goodman,COL,10.220074611924282,2.45376331270554,9.22996080634303,Hitter,116,584,165
Tyler Glasnow,LAD,13.022278973724152,4.187934780212483,9.144346616113744,Pitcher,50,133,166
David Bednar,NYY,13.000722726712201,4.1663785332005325,9.10242582302083,Pitcher,51,65,167
Kyle Manzardo,CLE,10.164726000728068,2.398414701509326,9.044320692452784,Hitter,117,588,168
Joe Musgrove,SDP,12.961455945645989,4.12711175213432,9.02606305896507,Pitcher,52,158,169
Eugenio Suárez,,10.134814165300629,2.3685028660818865,8.943995925211002,Hitter,118,630,170
Merrill Kelly,ARI,12.91328131379245,4.078937120280781,8.932377048912404,Pitcher,53,180,171
Ozzie Albies,ATL,10.106290083338877,2.3399787841201345,8.848325704955204,Hitter,119,630,172
Sandy Alcantara,MIA,12.814352037753748,3.9800078442420794,8.73998763579468,Pitcher,54,188,173
Aroldis Chapman,BOS,12.740352235818634,3.906008042306965,8.596078986755796,Pitcher,55,62,174
Jack Flaherty,DET,12.731585772813506,3.897241579301838,8.579030699937089,Pitcher,56,162,175
Miguel Vargas,CHW,10.02235259480798,2.256041295589238,8.566798046107595,Hitter,120,602,176
Andrés Muñoz,SEA,12.678553121608804,3.844208928097135,8.475897218627086,Pitcher,57,64,177
Bryan Reynolds,PIT,9.99324321882457,2.2269319196058284,8.469164740482686,Hitter,121,651,178
Carlos Rodón,NYY,12.673086057674071,3.8387418641624027,8.465265328210048,Pitcher,58,155,179
Daulton Varsho,TOR,9.986559968695676,2.220248669476934,8.446749014265336,Hitter,122,595,180
Drake Baldwin,ATL,9.936701594868143,2.1703902956494012,8.27952324300048,Hitter,123,528,181
Willi Castro,COL,9.921056514281288,2.1547452150625457,8.227049396246315,Hitter,124,546,182
Victor Scott II,STL,9.920082189168456,2.1537708899497137,8.223781494468778,Hitter,125,560,183
Ryan Pepiot,TBR,12.540721701384939,3.7063775078732704,8.207854156877822,Pitcher,59,169,184
Shota Imanaga,CHC,12.53759974032442,3.703255546812752,8.201782827133384,Pitcher,60,147,185
Brendan Donovan,STL,9.913324171617955,2.1470128723992126,8.201114997141506,Hitter,126,581,186
Max Muncy,LAD,9.910819057537076,2.1445077583183334,8.19271280504975,Hitter,127,462,187
Lars Nootbaar,STL,9.908830102037607,2.1425188028188646,8.186041816971386,Hitter,128,553,188
Chase Burns,CIN,12.519320583570478,3.684976390058809,8.166235046122612,Pitcher,61,123,189
Noelvi Marte,CIN,9.896165269698608,2.129853970479866,8.14356376979008,Hitter,129,581,190
Brenton Doyle,COL,9.89384783548614,2.1275365362673977,8.135791058933602,Hitter,130,595,191
Royce Lewis,MIN,9.857149204738882,2.0908379055201394,8.012703273272901,Hitter,131,567,192
Spencer Steer,CIN,9.8404751248005,2.074163825581758,7.956778146483307,Hitter,132,567,193
Nick Lodolo,CIN,12.324247163346616,3.4899029698349473,7.786872512254944,Pitcher,62,151,194
Adley Rutschman,BAL,9.782074029897652,2.01576273067891,7.7608999541535,Hitter,133,573,195
Marcell Ozuna,,9.727361750601599,1.9610504513828566,7.5773941074808935,Hitter,134,518,196
Otto Lopez,MIA,9.691760376600367,1.925449077381625,7.457986538232076,Hitter,135,609,197
Ezequiel Tovar,COL,9.67734202492244,1.9110307257036983,7.409627159563818,Hitter,136,651,198
Christian Walker,HOU,9.67397994832605,1.9076686491073076,7.398350701694818,Hitter,137,616,199
Gavin Williams,CLE,12.094133493834192,3.259789300322524,7.339366621172291,Pitcher,63,168,200
Alec Bohm,PHI,9.626157747269504,1.859846448050762,7.23795428598084,Hitter,138,609,201
Shane Bieber,TOR,12.003031218174922,3.168687024663253,7.162198506236127,Pitcher,64,138,202
Chase Meidroth,CHW,9.586878498879612,1.8205671996608697,7.106211068092808,Hitter,139,553,203
Brandon Pfaadt,ARI,11.910249178334286,3.0759049848226176,6.98176372588029,Pitcher,65,172,204
Ramón Laureano,SDP,9.547315596193858,1.7810042969751159,6.973516469227889,Hitter,140,560,205
Luis Arraez,SFG,9.49989483016346,1.733583530944717,6.81446647291564,Hitter,141,623,206
Jordan Beck,COL,9.497974730429677,1.7316634312109347,6.808026428160111,Hitter,142,560,207
Gerrit Cole,NYY,11.793240464048571,2.9588962705369024,6.754214927663252,Pitcher,66,136,208
Josh Lowe,LAA,9.478335693427205,1.7120243942084628,6.742156788668905,Hitter,143,497,209
Matt Wallner,MIN,9.460823594236398,1.694512295017656,6.683420932104883,Hitter,144,476,210
Kris Bubic,KCR,11.686679453851266,2.852335260339597,6.546983953840385,Pitcher,67,145,211
Jeff McNeil,ATH,9.374601612627272,1.6082903134085296,6.394231047483971,Hitter,145,581,212
Jared Triolo,PIT,9.367883333890424,1.6015720346716815,6.371697834763718,Hitter,146,581,213
Anthony Santander,TOR,9.351554213470276,1.585242914251534,6.316929707632625,Hitter,147,567,214
Masyn Winn,STL,9.33751067779086,1.5711993785721177,6.269827467728059,Hitter,148,630,215
Evan Carter,TEX,9.317583279930988,1.5512719807122455,6.202990661378419,Hitter,149,462,216
Ryan Walker,SFG,11.495516413963196,2.661172220451528,6.175226001831539,Pitcher,68,63,217
Ryan O'Hearn,PIT,9.286124720123228,1.5198134209044856,6.097478156198614,Hitter,150,553,218
Daylen Lile,WSN,9.280874620049774,1.5145633208310318,6.079869237844438,Hitter,151,553,219
Robbie Ray,SFG,11.429310381426676,2.5949661879150074,6.046474026131533,Pitcher,69,174,220
Eury Pérez,MIA,11.409195537611463,2.5748513440997947,6.007356353875956,Pitcher,70,135,221
Abner Uribe,MIL,11.398696075507495,2.564351881995826,5.986937874805674,Pitcher,71,72,222
Jung Hoo Lee,SFG,9.252473280520334,1.486161981301592,5.984610697640247,Hitter,152,609,223
Edward Cabrera,CHC,11.316345968838931,2.4820017753272623,5.826790248879969,Pitcher,72,137,224
Jake Cronenworth,SDP,9.199843136759549,1.4335318375408068,5.808088366353993,Hitter,153,630,225
Jacob Misiorowski,MIL,11.301047721969267,2.4667035284575984,5.797039493038662,Pitcher,73,142,226
Griffin Jax,TBR,11.29408248112313,2.4597382876114615,5.783494072994471,Pitcher,74,67,227
Kerry Carpenter,DET,9.18000283241895,1.4136915332002076,5.741543673040028,Hitter,154,497,228
Reid Detmers,LAA,11.226889832811612,2.392545639299943,5.652823409141423,Pitcher,75,145,229
Cody Ponce,TOR,11.221511052077407,2.387166858565738,5.642363204536895,Pitcher,76,151,230
Josh Bell,MIN,9.12578330695441,1.3594720077356683,5.55969053048095,Hitter,155,560,231
Jeff Hoffman,TOR,11.173358159552269,2.3390139660406,5.548719471318752,Pitcher,77,63,232
Jac Caglianone,KCR,9.121017371849304,1.3547060726305613,5.5437055090579355,Hitter,156,525,233
Konnor Griffin,PIT,9.085553887047048,1.319242587828306,5.424760422354732,Hitter,157,420,234
Brandon Lowe,PIT,9.081973745718372,1.3156624464996298,5.412752571938349,Hitter,158,567,235
Luis García Jr.,WSN,9.07959242943843,1.3132811302196874,5.404765599621193,Hitter,159,525,236
Nolan McLean,NYM,11.087481684926962,2.253137491415293,5.381714058812565,Pitcher,78,145,237
Reynaldo López,ATL,11.070773024615825,2.2364288311041562,5.349220448427855,Pitcher,79,131,238
Isaac Paredes,HOU,9.05819739947032,1.2918861002515776,5.333006332060081,Hitter,160,469,239
José Soriano,LAA,10.948905621703666,2.1145614281919975,5.112222877402679,Pitcher,80,176,240
Raisel Iglesias,ATL,10.941931174065642,2.1075869805539735,5.09865955275675,Pitcher,81,66,241
Sal Frelick,MIL,8.979840339945033,1.213529040726291,5.070195520008959,Hitter,161,511,242
J.P. Crawford,SEA,8.975014981245439,1.2087036820266963,5.054011190913898,Hitter,162,637,243
Brandon Marsh,PHI,8.88462267467924,1.1183113754604985,4.750833970689469,Hitter,163,490,244
Colson Montgomery,CHW,8.868256257407355,1.1019449581886125,4.695940749330086,Hitter,164,602,245
Logan Henderson,MIL,10.721863550369953,1.8875193568582844,4.670690374528229,Pitcher,82,134,246
Spencer Horwitz,PIT,8.841851601539052,1.0755403023203094,4.6073791175802405,Hitter,165,497,247
Daniel Palencia,CHC,10.685767536473156,1.8514233429614873,4.600493854270896,Pitcher,83,67,248
Andrew Abbott,CIN,10.682046494593056,1.8477023010813873,4.593257482064768,Pitcher,84,164,249
Justin Crawford,PHI,8.83558141715917,1.0692701179404285,4.58634882039234,Hitter,166,427,250
Ryan Helsley,BAL,10.668988141908558,1.8346439483968897,4.56786268580373,Pitcher,85,64,251
Casey Mize,DET,10.645591470546385,1.8112472770347168,4.522362788781177,Pitcher,86,155,252
Ryne Nelson,ARI,10.546419945361412,1.7120757518497438,4.329502269708314,Pitcher,87,167,253
Carlos Correa,HOU,8.74790908734126,0.9815977881225173,4.292294445031005,Hitter,167,567,254
Mitch Keller,PIT,10.506365077784105,1.6720208842724364,4.251606900670218,Pitcher,88,175,255
Braxton Ashcraft,PIT,10.496962981123131,1.6626187876114624,4.233322486479486,Pitcher,89,149,256
Harrison Bader,SFG,8.680737200986924,0.9144259017681815,4.066998880001644,Hitter,168,532,257
Zebby Matthews,MIN,10.397694208214764,1.5633500147030954,4.04027284813698,Pitcher,90,126,258
Mickey Moniak,COL,8.642264545110198,0.8759532458914556,3.937960986109482,Hitter,169,469,259
Bryce Miller,SEA,10.34062562056536,1.5062814270536915,3.9292906139090555,Pitcher,91,141,260
Cedric Mullins,TBR,8.635345030778815,0.8690337315600729,3.914752826034981,Hitter,170,476,261
Salvador Perez,KCR,8.63099972372584,0.8646884245070972,3.900178597725207,Hitter,171,626,262
Trey Yesavage,TOR,10.322332620470501,1.4879884269588324,3.8937159115223166,Pitcher,92,130,263
Sean Manaea,NYM,10.285366536900021,1.4510223433883525,3.821827352258998,Pitcher,93,136,264
Alejandro Kirk,TOR,8.598109692757,0.8317983935382571,3.789864915720359,Hitter,172,488,265
Joey Cantillo,CLE,10.254796927338269,1.4204527338266004,3.762378122684907,Pitcher,94,144,266
Joey Ortiz,MIL,8.574963549443016,0.8086522502242737,3.712232386410902,Hitter,173,595,267
Pete Fairbanks,MIA,10.177807254505787,1.343463060994118,3.612655021844946,Pitcher,95,62,268
Ernie Clement,TOR,8.544639245229323,0.778327946010581,3.610524192362171,Hitter,174,644,269
Quinn Priester,MIL,10.146158085752235,1.3118138922405667,3.5511063555049893,Pitcher,96,174,270
Dylan Beavers,BAL,8.508990323598637,0.7426790243798944,3.490957147615116,Hitter,175,427,271
Shane Baz,BAL,10.082599969645232,1.248255776133563,3.427503827049096,Pitcher,97,160,272
Trevor Rogers,BAL,10.069418376162021,1.2350741826503526,3.4018693623513134,Pitcher,98,163,273
Reese Olson,DET,10.005606805824323,1.1712626123126544,3.2777739372257177,Pitcher,99,134,274
Braxton Garrett,MIA,9.998022076930374,1.1636778834187052,3.263023788442732,Pitcher,100,131,275
Chris Bassitt,,9.973126426958832,1.138782233447163,3.214608802717621,Pitcher,101,162,276
Jake Burger,TEX,8.419873181051985,0.6535618818332427,3.192056847600629,Hitter,176,588,277
Tommy Edman,LAD,8.38593145703626,0.6196201578175184,3.078215770548612,Hitter,177,532,278
Bailey Ober,MIN,9.887907487573518,1.0535632940618491,3.0488821099594383,Pitcher,102,142,279
Joc Pederson,TEX,8.372235887819782,0.6059245886010398,3.032280615642454,Hitter,178,434,280
Dustin May,STL,9.87215248036426,1.0378082868525915,3.018243084667584,Pitcher,103,156,281
Shane Smith,CHW,9.864758004173781,1.0304138106621128,3.003862923490193,Pitcher,104,160,282
Brady Singer,CIN,9.864011391813698,1.029667198302029,3.002410973981063,Pitcher,105,169,283
Agustín Ramírez,MIA,8.347463464227522,0.5811521650087794,2.949193516659938,Hitter,179,472,284
David Peterson,NYM,9.831610975811046,0.997266782299377,2.9394013445860017,Pitcher,106,163,285
Jonathan India,KCR,8.332364311380381,0.566053012161639,2.898550720145089,Hitter,180,553,286
Michael Soroka,ARI,9.789081069294255,0.9547368757825865,2.8566927260420227,Pitcher,107,145,287
